"","Posicion","Grado","indice_academico","Semestre","Promedio","Sede","Programa"
"1",1,2015,95.054,"2 - 2015",17.854,"Caracas","Química"
"2",2,2015,92.762,"2 - 2015",18.951,"Caracas","Química"
"3",3,2015,92.148,"2 - 2015",16.905,"Caracas","Química"
"4",4,2009,92.076,"2 - 2015",16.317,"Caracas","Química"
"5",5,2015,92.035,"2 - 2015",16.634,"Caracas","Química"
"6",6,2015,90.503,"2 - 2015",17.268,"Caracas","Química"
"7",7,2015,90.306,"2 - 2015",15.775,"Caracas","Química"
"8",8,2015,90.061,"2 - 2015",16.475,"Caracas","Química"
"9",9,2015,89.907,"2 - 2015",17.512,"Caracas","Química"
"10",10,2015,89.863,"2 - 2015",19.024,"Caracas","Química"
"11",11,2015,89.863,"2 - 2015",19.024,"Caracas","Química"
"12",12,2015,89.396,"2 - 2015",18.39,"Caracas","Química"
"13",13,2015,89.337,"2 - 2015",17.024,"Caracas","Química"
"14",14,2014,89.273,"2 - 2015",18,"Caracas","Química"
"15",15,2015,89.255,"2 - 2015",16.098,"Caracas","Química"
"16",16,2015,89.213,"2 - 2015",18.024,"Caracas","Química"
"17",17,2015,88.794,"2 - 2015",17.439,"Caracas","Química"
"18",18,2015,88.65,"2 - 2015",17.488,"Caracas","Química"
"19",19,2008,88.486,"2 - 2015",16,"Caracas","Química"
"20",20,2015,88.399,"2 - 2015",15.317,"Caracas","Química"
"21",21,2015,88.309,"2 - 2015",15.976,"Caracas","Química"
"22",22,2008,88.297,"2 - 2015",16.049,"Caracas","Química"
"23",23,2015,87.835,"2 - 2015",19.073,"Caracas","Química"
"24",24,2014,87.812,"2 - 2015",17.31,"Caracas","Química"
"25",25,2014,87.77,"2 - 2015",16.707,"Caracas","Química"
"26",26,2015,87.757,"2 - 2015",16.268,"Caracas","Química"
"27",27,2015,87.742,"2 - 2015",17.317,"Caracas","Química"
"28",28,2015,87.646,"2 - 2015",18.675,"Caracas","Química"
"29",29,2014,87.624,"2 - 2015",17.463,"Caracas","Química"
"30",30,2014,87.605,"2 - 2015",16.195,"Caracas","Química"
"31",31,2015,87.556,"2 - 2015",18.512,"Caracas","Química"
"32",32,2015,87.511,"2 - 2015",16.439,"Caracas","Química"
"33",33,2013,87.403,"2 - 2015",18.293,"Caracas","Química"
"34",34,2014,87.196,"2 - 2015",17.073,"Caracas","Química"
"35",35,2011,87.138,"2 - 2015",13.976,"Caracas","Química"
"36",36,2015,87.128,"2 - 2015",18,"Caracas","Química"
"37",37,2015,87.11,"2 - 2015",17.951,"Caracas","Química"
"38",38,2015,87.01,"2 - 2015",16.976,"Caracas","Química"
"39",39,2015,86.915,"2 - 2015",18.707,"Caracas","Química"
"40",40,2015,86.891,"2 - 2015",18.439,"Caracas","Química"
